127.0.0.1 - - [26/May/2020:09:33:27 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:07 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:07 +0900] "POST /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:14 +0900] "GET /JSP_Han/uploadvideo.jsp HTTP/1.1" 200 13679
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:16 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:18 +0900] "GET /JSP_Han/uploadpost.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:19 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:24 +0900] "GET /JSP_Han/review.jsp?sort=2 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:25 +0900] "GET /JSP_Han/review.jsp?sort=3 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:26 +0900] "GET /JSP_Han/review.jsp?sort=1 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:28 +0900] "GET /JSP_Han/review.jsp?sort=2 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:29 +0900] "GET /JSP_Han/review.jsp?sort=3 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:30 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16983
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:30 +0900] "GET /JSP_Han/resources/contents/videos/jjjeerryyy.mp4 HTTP/1.1" 206 899334
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:30 +0900] "GET /JSP_Han/video.jsp?sort=2 HTTP/1.1" 200 17021
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:31 +0900] "GET /JSP_Han/video.jsp?sort=3 HTTP/1.1" 200 16996
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:33 +0900] "GET /JSP_Han/video.jsp?sort=1 HTTP/1.1" 200 16983
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:35 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:35 +0900] "GET /JSP_Han/resources/contents/videos/%EC%9B%8C%ED%84%B0%EB%A9%9C%EB%A1%A0%EB%85%B9%ED%99%94.mp4 HTTP/1.1" 206 342291
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:37 +0900] "GET /JSP_Han/uploadvideo.jsp HTTP/1.1" 200 13679
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:39 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:41 +0900] "GET /JSP_Han/uploadpost.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:42 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:42 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 688128
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:42 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 1572864
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:54 +0900] "GET /JSP_Han/watch.jsp?video=2 HTTP/1.1" 200 15103
0:0:0:0:0:0:0:1 - - [26/May/2020:09:42:57 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:03 +0900] "GET /JSP_Han/thumbsaction.jsp?userid=han12&cid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:03 +0900] "GET /JSP_Han/watch.jsp?video=2 HTTP/1.1" 200 15104
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:06 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:06 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 61
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:11 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:18 +0900] "GET /JSP_Han/review.jsp?sort=2 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:19 +0900] "GET /JSP_Han/review.jsp?sort=3 HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:21 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:25 +0900] "GET /JSP_Han/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:25 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:27 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [26/May/2020:09:43:55 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [26/May/2020:09:47:30 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 655360
0:0:0:0:0:0:0:1 - - [26/May/2020:09:47:30 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 417
0:0:0:0:0:0:0:1 - - [26/May/2020:09:48:56 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [26/May/2020:09:48:59 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/May/2020:09:49:00 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/May/2020:09:49:00 +0900] "POST /JSP_Han/main.jsp HTTP/1.1" 200 20913
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:37 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15310
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:37 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16983
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:38 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:39 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16983
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:40 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15310
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:51 +0900] "GET /JSP_Han/post.jsp?post=1 HTTP/1.1" 200 14685
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:55 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15311
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:55 +0900] "GET /JSP_Han/post.jsp?post=4 HTTP/1.1" 200 14694
0:0:0:0:0:0:0:1 - - [26/May/2020:09:53:58 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15311
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:00 +0900] "GET /JSP_Han/post.jsp?post=1 HTTP/1.1" 200 14686
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:01 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15311
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:01 +0900] "GET /JSP_Han/post.jsp?post=2 HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:05 +0900] "GET /JSP_Han/board.jsp HTTP/1.1" 200 15311
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:06 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:07 +0900] "GET /JSP_Han/watch.jsp?video=1 HTTP/1.1" 200 16264
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:13 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/May/2020:09:54:29 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:01:48 +0900] "GET /JSP_Han/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2020:10:01:48 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20871
0:0:0:0:0:0:0:1 - - [26/May/2020:10:03:05 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [26/May/2020:10:04:04 +0900] "GET /JSP_Han/createaccount.jsp HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [26/May/2020:10:09:21 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [26/May/2020:10:10:59 +0900] "GET /JSP_Han/createaccount.jsp HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [26/May/2020:10:12:19 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/May/2020:10:12:39 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/May/2020:10:14:23 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/May/2020:10:14:26 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/May/2020:10:14:26 +0900] "POST /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:14:28 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [26/May/2020:10:15:35 +0900] "POST /JSP_Han/pwdcheck.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [26/May/2020:10:15:35 +0900] "POST /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:19:03 +0900] "GET /JSP_Han/uploadvideo.jsp HTTP/1.1" 200 13679
0:0:0:0:0:0:0:1 - - [26/May/2020:10:23:52 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:26:28 +0900] "GET /JSP_Han/watch.jsp?video=1 HTTP/1.1" 200 16264
0:0:0:0:0:0:0:1 - - [26/May/2020:10:26:37 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:26:38 +0900] "GET /JSP_Han/watch.jsp?video=3 HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [26/May/2020:10:26:38 +0900] "GET /JSP_Han/watch.jsp?video=3 HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [26/May/2020:10:26:46 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:27:19 +0900] "GET /JSP_Han/post.jsp?post=4 HTTP/1.1" 200 14694
0:0:0:0:0:0:0:1 - - [26/May/2020:10:27:21 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:27:22 +0900] "GET /JSP_Han/post.jsp?post=2 HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [26/May/2020:10:27:26 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
0:0:0:0:0:0:0:1 - - [26/May/2020:10:30:09 +0900] "GET /JSP_Han/review.jsp HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [26/May/2020:10:30:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/May/2020:10:30:16 +0900] "GET /JSP_Han/reviewpost.jsp?review=1 HTTP/1.1" 200 15098
0:0:0:0:0:0:0:1 - - [26/May/2020:10:30:18 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/May/2020:10:31:58 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20914
