127.0.0.1 - - [18/Jan/2020:15:07:41 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:07:51 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 1835008
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:46 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:46 +0900] "GET /JSP_Han/resources/imgs/hot_selected.png HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:46 +0900] "GET /JSP_Han/resources/contents/videos/hamzzi.mp4 HTTP/1.1" 206 2097152
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:46 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 65536
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:46 +0900] "GET /JSP_Han/resources/contents/videos/1%EB%B6%84%EA%B3%BC%ED%95%99.mp4 HTTP/1.1" 206 656384
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:48 +0900] "GET /JSP_Han/video.jsp?Page=2&&sort=1 HTTP/1.1" 200 14673
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:48 +0900] "GET /JSP_Han/resources/contents/videos/%EB%B0%95%ED%9A%A8%EC%8B%A0-%EA%B7%B8%EB%82%A0.mp4 HTTP/1.1" 206 61
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:50 +0900] "GET /JSP_Han/video.jsp?Page=1&&sort=1 HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:52 +0900] "GET /JSP_Han/watch.jsp?video=3 HTTP/1.1" 200 16217
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:09:52 +0900] "GET /JSP_Han/watch.jsp?video=3 HTTP/1.1" 200 16217
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:10:23 +0900] "GET /JSP_Han/video.jsp HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:10:25 +0900] "GET /JSP_Han/main.jsp HTTP/1.1" 200 20870
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:15:17 +0900] "GET /JSP_Han/watch.jsp?video=2 HTTP/1.1" 200 15052
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:15:26 +0900] "GET /JSP_Han/resources/contents/videos/ham.mp4 HTTP/1.1" 200 1380851
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:15:41 +0900] "GET /JSP_Han/login.jsp HTTP/1.1" 200 5608
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:15:51 +0900] "GET /JSP_Han/createaccount.jsp HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [18/Jan/2020:15:15:56 +0900] "POST /JSP_Han/idcheck.jsp HTTP/1.1" 200 14
